threshold,precision,recall,f1
0.1,0.9102564102564102,1.0,0.9530201342281879
0.11,0.9102564102564102,1.0,0.9530201342281879
0.12,0.922077922077922,1.0,0.9594594594594594
0.13,0.922077922077922,1.0,0.9594594594594594
0.13999999999999999,0.922077922077922,1.0,0.9594594594594594
0.14999999999999997,0.922077922077922,1.0,0.9594594594594594
0.15999999999999998,0.922077922077922,1.0,0.9594594594594594
0.16999999999999998,0.922077922077922,1.0,0.9594594594594594
0.17999999999999997,0.9342105263157895,1.0,0.9659863945578231
0.18999999999999995,0.9342105263157895,1.0,0.9659863945578231
0.19999999999999996,0.9342105263157895,1.0,0.9659863945578231
0.20999999999999996,0.9342105263157895,1.0,0.9659863945578231
0.21999999999999995,0.9342105263157895,1.0,0.9659863945578231
0.22999999999999995,0.9342105263157895,1.0,0.9659863945578231
0.23999999999999994,0.9342105263157895,1.0,0.9659863945578231
0.24999999999999992,0.9342105263157895,1.0,0.9659863945578231
0.2599999999999999,0.9466666666666667,1.0,0.9726027397260274
0.2699999999999999,0.9466666666666667,1.0,0.9726027397260274
0.2799999999999999,0.9466666666666667,1.0,0.9726027397260274
0.2899999999999999,0.9459459459459459,0.9859154929577465,0.9655172413793104
0.29999999999999993,0.958904109589041,0.9859154929577465,0.9722222222222222
0.30999999999999994,0.958904109589041,0.9859154929577465,0.9722222222222222
0.3199999999999999,0.958904109589041,0.9859154929577465,0.9722222222222222
0.32999999999999985,0.9722222222222222,0.9859154929577465,0.9790209790209791
0.33999999999999986,0.9722222222222222,0.9859154929577465,0.9790209790209791
0.34999999999999987,0.9859154929577465,0.9859154929577465,0.9859154929577465
0.3599999999999999,0.9859154929577465,0.9859154929577465,0.9859154929577465
0.3699999999999999,0.9859154929577465,0.9859154929577465,0.9859154929577465
0.3799999999999999,0.9857142857142858,0.971830985915493,0.9787234042553191
0.3899999999999999,0.9857142857142858,0.971830985915493,0.9787234042553191
0.3999999999999998,0.9857142857142858,0.971830985915493,0.9787234042553191
0.4099999999999998,0.9857142857142858,0.971830985915493,0.9787234042553191
0.4199999999999998,0.9855072463768116,0.9577464788732394,0.9714285714285714
0.4299999999999998,0.9852941176470589,0.9436619718309859,0.9640287769784173
0.43999999999999984,1.0,0.9436619718309859,0.9710144927536232
0.44999999999999984,1.0,0.9436619718309859,0.9710144927536232
0.45999999999999985,1.0,0.9295774647887324,0.9635036496350365
0.46999999999999986,1.0,0.9014084507042254,0.9481481481481482
0.47999999999999976,1.0,0.9014084507042254,0.9481481481481482
0.48999999999999977,1.0,0.9014084507042254,0.9481481481481482
0.4999999999999998,1.0,0.9014084507042254,0.9481481481481482
0.5099999999999998,1.0,0.8873239436619719,0.9402985074626866
0.5199999999999998,1.0,0.8873239436619719,0.9402985074626866
0.5299999999999998,1.0,0.8591549295774648,0.9242424242424242
0.5399999999999998,1.0,0.8591549295774648,0.9242424242424242
0.5499999999999998,1.0,0.8591549295774648,0.9242424242424242
0.5599999999999997,1.0,0.8591549295774648,0.9242424242424242
0.5699999999999997,1.0,0.8450704225352113,0.916030534351145
0.5799999999999997,1.0,0.8450704225352113,0.916030534351145
0.5899999999999997,1.0,0.8450704225352113,0.916030534351145
0.5999999999999998,1.0,0.8450704225352113,0.916030534351145
0.6099999999999998,1.0,0.8309859154929577,0.9076923076923077
0.6199999999999998,1.0,0.8309859154929577,0.9076923076923077
0.6299999999999997,1.0,0.8309859154929577,0.9076923076923077
0.6399999999999997,1.0,0.8028169014084507,0.890625
0.6499999999999997,1.0,0.8028169014084507,0.890625
0.6599999999999997,1.0,0.8028169014084507,0.890625
0.6699999999999997,1.0,0.8028169014084507,0.890625
0.6799999999999997,1.0,0.7746478873239436,0.873015873015873
0.6899999999999997,1.0,0.7746478873239436,0.873015873015873
0.6999999999999996,1.0,0.7605633802816901,0.864
0.7099999999999996,1.0,0.7183098591549296,0.8360655737704918
0.7199999999999996,1.0,0.7183098591549296,0.8360655737704918
0.7299999999999996,1.0,0.7183098591549296,0.8360655737704918
0.7399999999999997,1.0,0.7183098591549296,0.8360655737704918
0.7499999999999997,1.0,0.704225352112676,0.8264462809917356
0.7599999999999997,1.0,0.6901408450704225,0.8166666666666667
0.7699999999999997,1.0,0.647887323943662,0.7863247863247863
0.7799999999999997,1.0,0.6338028169014085,0.7758620689655172
0.7899999999999996,1.0,0.6197183098591549,0.7652173913043478
0.7999999999999996,1.0,0.5774647887323944,0.7321428571428571
0.8099999999999996,1.0,0.5774647887323944,0.7321428571428571
0.8199999999999996,1.0,0.5633802816901409,0.7207207207207207
0.8299999999999996,1.0,0.5492957746478874,0.7090909090909091
0.8399999999999996,1.0,0.5492957746478874,0.7090909090909091
0.8499999999999996,1.0,0.5352112676056338,0.6972477064220184
0.8599999999999995,1.0,0.5352112676056338,0.6972477064220184
0.8699999999999996,1.0,0.5070422535211268,0.6728971962616822
0.8799999999999996,1.0,0.49295774647887325,0.660377358490566
0.8899999999999996,1.0,0.4647887323943662,0.6346153846153846
0.8999999999999996,1.0,0.43661971830985913,0.6078431372549019
